procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1 15 752480 279288 154488 5333172    0    0  8992 16671 5421 17419  2  1 63 33  0
 3 13 752476 280308 154488 5334080    0    0  8128 15985 5679 17732  3  3 60 35  0
 0 18 752468 278976 154496 5334824    0    0  8352 16459 5617 16997  3  2 58 38  0
 2 14 752468 277144 154496 5335368    0    0  8928 16760 5670 18540  3  2 57 38  0
 0 16 752464 276576 154496 5336128    0    0 10592 17987 5315 21019  3  2 59 37  0
 0 15 752464 274444 154496 5336820    0    0  7376 16864 6299 17224  2  2 64 32  0
 0 16 752460 272924 154496 5337324    0    0  7456 15788 4928 15984  2  2 60 36  0
 1 13 752460 272656 154504 5337708    0    0  9440 16794 5251 19725  3  1 59 37  0
 0 17 752460 273736 154504 5338292    0    0  8192 17413 6041 18328  3  2 60 36  0
 1 17 752448 271760 154504 5339140    0    0  8944 17310 5376 18750  2  1 59 37  0
 2 16 752444 271904 154504 5340000    0    0  9072 17141 5578 19575  3  3 56 38  0
 0 15 752440 271344 154504 5340724    0    0  9568 17424 5665 19884  2  1 60 36  0
 1 18 752440 270520 154512 5341516    0    0  8128 15824 4777 17340  3  2 57 38  0
 0 16 752440 270556 154512 5342236    0    0  8848 15538 4881 18548  3  3 59 36  0
 2 15 752440 269344 154512 5343096    0    0  8272 14949 4837 18713  2  2 60 35  0
 2 15 752436 268240 154512 5343744    0    0  9504 15860 5341 19069  3  3 55 39  0
 1 17 752432 268884 154512 5344492    0    0 10480 16629 5420 20779  3  2 59 36  0
 0 16 752432 266952 154520 5345308    0    0 10208 15593 5334 20046  2  1 60 36  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5 14 752432 267176 154520 5346080    0    0  9488 15914 5165 19269  2  1 61 35  0
 1 15 752432 266180 154520 5346748    0    0  9776 16047 5232 20108  3  2 62 33  0
 2 16 752428 267088 154520 5347236    0    0 10432 17110 5566 21895  3  3 56 38  0
 1 16 752428 263368 154520 5347936    0    0  9376 16616 5531 20111  3  2 62 33  0
 0 17 752428 263740 154528 5348848    0    0 10208 16747 5715 21564  3  2 58 37  0
 0 17 752424 262980 154528 5349616    0    0  9232 15962 5123 19172  3  2 60 35  0
 2 15 752420 262464 154528 5350232    0    0  9600 16055 5283 19841  3  3 60 35  0
 0 17 752416 261980 154528 5351064    0    0  8976 14588 4957 18677  2  1 62 35  0
 1 15 752440 299980 154512 5309876    0   24 10244 15499 6475 21236  3  2 60 34  0
 2 16 752440 297432 154520 5310752    0    0 10112 15185 5938 20972  3  2 61 34  0
 0 17 752440 293324 154520 5311696    0    0  9904 14891 7963 20291  3  3 58 35  0
 1 17 752440 295136 154520 5312656    0    0 11024 15438 6182 21503  3  3 59 35  0
 0 18 752436 294852 154520 5313664    0    0 10992 15171 6202 22265  3  3 55 39  0
 0 17 752436 290932 154520 5314700    0    0 11152 14528 6032 23267  3  3 60 33  0
 1 14 752432 292408 154528 5315572    0    0 10240 13989 5944 21217  3  2 57 38  0
 0 17 752424 290220 154528 5316512    0    0 10896 14333 5442 23082  3  2 57 39  0
 3 15 752420 290704 154528 5317676    0    0 11552 13834 5556 22495  3  3 57 36  0
 1 17 752420 291516 154548 5318564    0    0 10368 14019 6447 21709  3  3 57 37  0
 0 14 752420 299884 154548 5319380    0    0 11360 14172 5572 22120  2  1 61 35  0
 2 16 752416 307912 154560 5320216    0    0  9536 12835 4663 18900  3  2 60 35  0
 1 16 752416 314384 154560 5320716    0    0 11232 13180 5375 20909  3  2 61 35  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2 15 752416 313312 154560 5321032    0    0 11472 13169 5543 21246  3  2 61 33  0
 0 16 752416 325312 154560 5321232    0    0 10064 12901 5742 19974  3  2 60 35  0
 1 15 752416 328504 154560 5321560    0    0 10192 12972 5491 21995  3  2 60 35  0
 2 16 752412 327728 154568 5321980    0    0 11040 13250 5657 22461  3  2 63 33  0
 2 14 752412 328112 154568 5322036    0    0 10464 12630 5693 20776  3  2 62 33  0
 2 15 752408 324656 154568 5322120    0    0 10816 12422 5615 20710  3  3 61 34  0
 3 15 752408 315488 154568 5322936    0    0 11504 12698 5713 21949  3  2 58 36  0
 1 14 752408 306792 154568 5323608    0    0 10992 13050 5399 21992  3  1 61 35  0
 1 16 752404 300120 154576 5324588    0    0 11120 12129 5689 20417  3  2 66 28  0
 1 14 752404 291340 154576 5325480    0    0 11328 12385 5539 21306  3  2 63 33  0
 1 15 752396 285596 154576 5326396    0    0 11968 12926 5657 23675  3  2 61 34  0
 4 13 752396 281948 154576 5327560    0    0 10336 12252 5434 20489  3  2 60 35  0
 1 17 752396 281072 154576 5328448    0    0  8656 11201 4555 17421  2  1 60 36  0
 0 18 752392 282172 154584 5329156    0    0 10272 12363 5392 20876  3  2 60 35  0
 2 16 752392 280452 154584 5330120    0    0 10912 12136 5208 21091  3  3 62 32  0
 0 13 752392 279720 154584 5330976    0    0 10912 12005 4957 20385  2  3 64 31  0
 3 16 752388 277044 154584 5331820    0    0 11648 11538 5658 22033  3  2 67 29  0
 2 15 752384 277752 154584 5332868    0    0 10864 10856 5288 19576  3  2 59 36  0
 1 18 752384 276636 154592 5333756    0    0 11024 11401 5045 21774  3  2 62 33  0
 2 15 752380 276672 154592 5334680    0    0 12144 11798 5296 22714  3  3 62 33  0
 1 15 752376 273040 154592 5335480    0    0 12000 11949 5575 24034  3  2 63 32  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0 16 752376 273084 154592 5336452    0    0 11424 11425 5273 21163  3  3 61 33  0
 0 17 752376 274036 154592 5337172    0    0 11504 11451 5041 21802  3  2 61 35  0
 0 16 752376 273284 154600 5337972    0    0 11904 12061 5396 23661  4  3 59 35  0
 2 14 752376 275024 154600 5339012    0    0 11264 11359 5018 21237  3  2 58 37  0
 1 13 752372 271500 154600 5340076    0    0 11232 11447 4724 22121  4  3 59 35  0
 2 17 752372 271304 154600 5340900    0    0 10672 11442 5122 20903  3  3 60 34  0
 2 15 752372 269564 154600 5341656    0    0 11728 11758 5275 22722  3  3 60 34  0
 1 16 752372 265812 154608 5342532    0    0 11008 11487 5028 21964  3  2 57 38  0
 0 16 752368 264972 154608 5343412    0    0 10928 11163 4896 20765  3  2 61 34  0
 5 12 752364 264200 154608 5344416    0    0 11920 11533 4760 21859  3  2 61 34  0
 3 15 752364 264240 154608 5345356    0    0 11904 11781 5195 22122  3  3 56 38  0
 2 15 752364 263956 154608 5346376    0    0 10816 11199 4923 21417  3  2 60 35  0
 0 15 752360 262716 154616 5347228    0    0 11328 11605 4912 22321  4  3 57 36  0
 3 16 752360 262700 154616 5348204    0    0 12064 11446 4828 21557  3  2 58 36  0
 3 15 752388 300596 154580 5308568    0   28 10912 11486 5002 21151  3  3 58 36  0
 1 15 752384 299144 154580 5308968    0    0 11552 11748 6945 22574  3  3 62 32  0
 0 15 752380 296520 154580 5309844    0    0 11376 11575 5694 22125  3  3 62 32  0
 3 15 752376 296012 154588 5310836    4    0 10996 11513 5381 22135  3  2 59 36  0
 0 16 752376 294528 154588 5311760    0    0 11248 11572 5371 21882  3  2 61 34  0
 1 14 752372 293428 154588 5312732    0    0 11904 11529 5213 21964  3  2 60 35  0
 1 14 752364 291580 154588 5313716    0    0 11392 11880 5173 22100  3  2 57 38  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1 14 752364 292040 154588 5314980    0    0 11456 11504 5138 21892  3  2 57 38  0
 1 17 752364 287980 154596 5315744    0    0 11328 11398 5005 21611  3  1 61 35  0
 2 15 752364 287344 154596 5316752    0    0 11760 11232 6325 20841  3  3 60 34  0
 3 14 752364 288756 154596 5317680    0    0 11344 11086 4909 21785  3  2 61 34  0
 2 16 752360 288620 154596 5318524    0    0 11792 10612 5434 22179  3  3 62 33  0
 2 16 752360 285628 154596 5319392    0    0 11440 10623 6018 22115  3  3 61 33  0
 1 17 752360 285212 154604 5320228    0    0 11872 10957 5866 22970  4  3 59 35  0
 1 15 752360 284660 154604 5321328    0    0 11776 10806 4932 22196  3  2 58 37  0
 1 15 752360 284060 154604 5322340    0    0 11168 10768 4758 21494  3  2 59 36  0
 3 15 752360 282924 154604 5323360    0    0 11504 10370 4715 21702  3  1 60 36  0
 1 15 752356 280876 154604 5324296    0    0 10464 10717 5200 21544  3  3 60 34  0
 1 17 752356 282208 154612 5325216    0    0 11712 11009 5498 23291  3  2 61 34  0
 3 16 752356 279064 154612 5326100    0    0 12016 11233 5354 24406  3  2 55 40  0
 1 14 752352 278652 154612 5327128    0    0 11120 10375 5182 21803  3  3 57 37  0
 1 13 752352 276764 154612 5328160    0    0 10912 10744 5247 22243  3  3 63 31  0
 2 13 752352 277420 154612 5329100    0    0 11552 10259 4990 21595  3  2 58 37  0
 3 15 752352 275108 154620 5330032    0    0 10784  9917 4679 19596  3  3 59 35  0
 3 16 752352 273528 154620 5330832    0    0 10512  9621 4537 19464  3  2 61 35  0
 2 13 752352 273424 154620 5331680    0    0 11184 10294 4670 21557  3  2 62 34  0
 2 18 752352 273016 154620 5332656    0    0 11584 10588 4746 21241  3  2 60 35  0
 6 15 752352 273136 154620 5333644    0    0 10720 10114 4464 20578  3  2 60 35  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0 15 752352 270216 154628 5334696    0    0 11856 10721 5394 21927  3  3 60 34  0
 2 15 752352 273168 154632 5335552    0    0 11776 10963 5148 22050  3  2 60 34  0
 2 15 752348 269592 154632 5336644    0    0 10656 10658 4524 21218  3  2 61 34  0
 1 16 752348 269704 154632 5337616    0    0 10528 10431 4720 21366  3  2 61 34  0
 1 16 752340 269952 154632 5338436    0    0 11600 10793 5056 22315  3  3 59 35  0
 1 17 752340 268472 154640 5339268    0    0 11248 10640 4929 21429  2  2 63 33  0
 1 17 752340 267472 154640 5340388    0    0 11280 10164 4818 20608  3  3 63 32  0
 1 17 752336 266724 154640 5341344    0    0 10608 10288 4822 21353  3  2 62 34  0
 3 16 752336 266280 154640 5342068    0    0 11744 11011 5695 22863  3  2 61 33  0
 1 17 752336 265128 154640 5343032    0    0  8928  9112 4477 17858  2  2 60 36  0
 0 16 752336 264748 154648 5343728    0    0  9312  9956 4833 19695  3  3 57 36  0
 2 18 752336 264800 154648 5344636    0    0 11744 11124 5498 22412  3  3 59 35  0
 3 13 752336 262492 154648 5345656    0    0 11200 10626 4981 22536  3  2 62 32  0
 3 15 752336 261916 154648 5346756    0    0 11968 10514 5005 23164  3  2 62 33  0
 1 16 752352 303592 154600 5305864    0   20 10624  9598 4752 20909  3  2 61 34  0
 3 12 752352 300180 154608 5305676    0    0 11328  9949 5938 22139  3  2 63 32  0
 3 16 752352 299004 154608 5306748    0    0 10720  9432 5623 20540  3  2 63 32  0
 0 17 752352 298148 154608 5307536    0    0 12016 10156 5123 22288  3  3 61 33  0
 1 15 752352 297184 154608 5308524    0    0 11456 10262 4983 22325  3  3 62 32  0
 3 12 752352 296668 154608 5309556    0    0 12224 10290 5090 22878  3  3 59 35  0
 1 15 752352 294672 154616 5310548    0    0 11440  9951 5416 22131  3  3 61 33  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6 13 752348 293928 154616 5311476    0    0 11728 10278 5509 23320  4  3 60 33  0
 1 14 752348 293528 154616 5312520    0    0 12288 10122 5457 22509  3  3 62 31  0
 2 16 752340 293000 154616 5313388    0    0 11136  9874 4934 21163  3  3 63 32  0
 2 18 752336 290880 154616 5314296    0    0 10768  9536 5642 20340  3  2 59 37  0
 3 13 752336 290260 154624 5315284    0    0 11328 10244 5565 23081  3  2 63 32  0
 1 15 752332 289092 154624 5316124    0    0 12064 10700 5352 22929  3  2 61 34  0
 3 15 752324 288108 154624 5317380    0    0 10784  9450 4414 20147  3  2 59 37  0
 2 15 752320 287152 154624 5318168    0    0 11360 10521 5855 22972  3  3 60 34  0
 0 16 752316 287016 154624 5319332    0    0 10736  9405 4938 21020  3  2 62 33  0
 3 16 752316 286100 154632 5320124    0    0 11152  9986 4581 21849  3  2 60 35  0
 2 15 752312 284096 154632 5321164    0    0 11168  9820 4737 21342  3  2 60 35  0
 1 16 752308 283804 154632 5322024    0    0 12256 10110 5137 21854  3  2 61 34  0
 2 16 752308 283940 154632 5322956    0    0 11312  9939 5031 21493  3  2 59 35  0
 3 15 752308 282684 154632 5323976    0    0 11120  9873 5204 22073  3  2 62 32  0
 1 16 752308 279088 154640 5324912    0    0 11728 10205 5138 22165  3  3 59 35  0
 2 14 752308 279196 154640 5325896    0    0 11616 10185 5235 22603  3  3 60 35  0
 2 16 752308 277924 154640 5326816    0    0 11264  9893 5098 22502  3  2 60 35  0
 2 14 752308 277656 154640 5327836    0    0 11920  9889 4691 21443  3  2 60 35  0
