procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1 15 824596 272980 141788 5446944   76    0 10384 20827 4674 19187  2  1 67 30  0
 1 16 824540 273400 141788 5447004   72    0 10472 21156 5064 19470  3  1 67 29  0
 2 15 824520 273228 141788 5447036   52    0 10484 20723 5866 18416  3  1 66 30  0
 3 13 824480 272992 141788 5447116   40    0 10088 20974 5528 17615  2  1 65 31  0
 0 16 824472 272528 141788 5447176   20    0  8388 20842 4355 15113  2  1 68 29  0
 1 15 824456 273500 141796 5447160   28    0  9564 20369 5107 15992  2  1 70 27  0
 1 15 824440 272460 141796 5447216   40    0  9576 21394 5427 17220  2  1 71 26  0
 0 16 824420 272712 141796 5447276   32    0  9088 20861 4571 16350  2  1 64 33  0
 3 14 824404 273752 141796 5447252   28    0  9692 21090 4441 17494  2  1 65 32  0
 1 15 824376 274132 141796 5447336   40    0  9832 20839 5500 17206  2  1 63 34  0
 1 15 824340 273700 141804 5447368   68    0  8932 20858 4897 15422  2  1 67 30  0
 4 13 824292 276260 141804 5447488   44    0 10540 21133 6743 18434  3  1 65 32  0
 0 16 824248 273760 141804 5447516   52    0  9124 21005 5510 17172  2  1 62 35  0
 3 14 824220 273920 141804 5447584   20    0 10004 21254 6427 17603  2  1 67 30  0
 0 16 824196 273904 141804 5447580   48    0  9152 20887 4875 15971  2  1 64 33  0
 4 14 824140 273724 141812 5447656   36    0  9124 20703 5556 16169  2  1 63 34  0
 1 15 824124 273352 141812 5447696   24    0  8328 21226 4704 15195  2  1 64 33  0
 2 14 824108 272508 141812 5447732   56    0  8904 20848 5645 15299  2  1 63 34  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2 15 824084 273812 141812 5447792   48    0 10624 20743 6041 17850  3  1 68 29  0
 1 15 824072 273996 141812 5447844   20    0  9188 20897 6138 15313  2  1 69 28  0
 1 15 824052 273092 141820 5447832   36    0 10324 20649 5841 17518  3  1 65 31  0
 2 14 824020 273364 141820 5447780   36    0  7860 21250 5598 14708  2  1 55 42  0
 2 15 823976 273016 141820 5447824   32    0  9856 20755 5351 17122  2  1 56 40  0
 2 15 823924 273044 141820 5447756   96    0 10064 21085 5813 17216  2  1 61 36  0
 3 14 823912 273228 141820 5447828   28    0  9516 20737 5394 16385  2  1 66 31  0
 1 15 823884 273412 141828 5447820   72    0  9272 20861 4768 16269  2  1 66 31  0
 1 15 823868 272776 141828 5447872   72    0  8888 21396 5193 16114  2  1 67 30  0
 0 16 823856 273004 141828 5447892   40    0  9512 21001 4396 16939  2  1 67 30  0
 1 16 823836 272656 141828 5448016   28    0  9900 20713 4589 17602  2  1 61 36  0
 0 16 823820 272908 141828 5448064   12    0  8588 20887 5626 14792  2  1 52 45  0
 2 15 823784 273908 141836 5448072   32    0 10352 21056 5342 17030  3  1 56 40  0
 4 15 823728 272656 141836 5448112   60    0 10012 21208 4987 17651  2  1 61 35  0
 0 16 823708 272656 141836 5448008   16    0  9328 20874 4330 16269  3  1 63 33  0
 2 14 823672 273120 141836 5448020   36    0  8884 21011 5728 16426  2  1 63 34  0
 1 15 823632 272808 141836 5448056   60    0 10268 20964 6440 17219  2  1 64 33  0
 0 16 823616 272880 141844 5448076   56    0  8360 20813 5299 15535  2  1 64 34  0
 1 15 823600 272964 141844 5448148   24    0  8808 21132 5607 16147  2  1 67 29  0
 0 16 823580 274776 141844 5448032   16    0  9696 21062 5704 17990  2  1 66 31  0
 1 15 823552 273108 141844 5448100   12    0  8668 20632 5705 16135  2  1 68 28  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2 15 823536 272528 141844 5448076   40    0  8984 20739 5163 16014  2  1 65 32  0
 0 16 823512 272600 141852 5448092   36    0 10036 20760 4696 16981  2  1 65 32  0
 1 15 823476 271716 141852 5448036   44    0  9212 21102 5130 16892  2  1 66 31  0
 0 16 823464 272932 141852 5448108   28    0 10172 21171 4767 18002  3  1 63 33  0
 2 15 823456 272412 141852 5448096   52    0  9652 20889 5908 17298  2  1 66 30  0
 1 15 823444 272224 141852 5448152   24    0  8568 20886 4656 15876  2  1 59 38  0
 4 13 823416 271364 141860 5448208   24    0  9368 20867 4905 16906  2  1 60 37  0
 2 16 823416 270868 141860 5448256    8    0 10200 20891 5983 18184  2  1 60 36  0
 1 15 823396 272332 141860 5448308   28    0  8812 21337 6171 16531  2  1 61 36  0
 1 15 823368 272344 141860 5448272   64    0  8800 21129 6207 16198  2  1 64 33  0
 0 16 823336 271604 141860 5448324   28    0 10140 20851 4277 18042  2  1 66 31  0
 1 15 823332 271316 141868 5448300   16    0  7488 20901 5868 14157  2  1 62 35  0
 0 16 823312 271488 141868 5448340   40    0  6424 21198 5078 13617  2  1 67 31  0
 2 14 823276 272196 141868 5448420   40    0  8872 21064 5485 16562  2  1 67 30  0
 4 13 823260 271392 141868 5448480   20    0 10084 21022 5627 18397  2  1 62 34  0
 1 15 823224 271512 141868 5448544   28    0  9196 20873 5928 17034  2  1 62 35  0
 0 16 823192 272312 141876 5448580   28    0  7260 20683 4388 14012  2  1 64 33  0
 0 16 823156 272232 141880 5448584   44    0  8992 21052 5896 16765  2  1 65 32  0
 0 16 823124 272424 141880 5448612   44    0 10524 21075 6386 18117  2  1 60 37  0
 1 15 823084 272316 141880 5448640   64    0  9584 20967 5377 18029  3  1 61 35  0
 2 15 823056 270580 141880 5448608   52    0  9092 20678 5588 15386  2  1 60 37  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1 15 823036 271716 141888 5448668   12    0  8556 20627 5398 15054  2  1 61 36  0
 1 15 823024 270940 141888 5448648   88    0 10136 21298 4856 17653  3  1 64 32  0
 0 16 823004 272236 141888 5448728   48    0  9648 21280 5169 17112  2  1 66 31  0
 1 15 822976 270864 141888 5448744   72    0  8168 20881 5138 15310  2  1 67 29  0
 1 16 822940 271796 141888 5448788   40    0  8216 20775 4690 15213  2  1 66 30  0
 2 14 822912 272576 141896 5448760   56    0  9000 20634 4809 16050  2  1 65 32  0
 0 16 822896 271956 141896 5448824   32    0  9136 21034 6083 16920  2  1 64 33  0
 2 14 822864 270900 141896 5448820   72    0  9864 21077 5810 17023  2  1 65 32  0
 0 16 822804 271524 141900 5448876  112    0  9572 21007 5866 17180  2  1 64 33  0
 1 15 822780 271480 141900 5448928   16    0  9360 20827 5811 16159  2  1 63 34  0
 0 16 822724 272300 141912 5448980   80    0  9796 20888 5982 18199  2  1 64 33  0
 0 16 822712 271716 141912 5448752   40    0  8648 21095 5755 15607  2  1 61 35  0
 1 15 822688 271636 141912 5448668   44    0  9868 21038 5841 17210  2  1 62 35  0
 0 16 822676 271720 141912 5448668   24    0  9176 20948 6225 17353  2  1 64 33  0
 1 15 822660 272112 141912 5448732   16    0  9792 20497 5695 18722  3  1 64 33  0
 0 16 822628 271880 141920 5448652   60    0  9100 20848 5747 17464  2  1 63 34  0
 1 15 822592 272432 141920 5448704   24    0  8808 21351 6217 15890  2  1 62 35  0
 1 15 822568 272004 141920 5448700   48    0  8448 21160 4824 15935  2  1 63 34  0
 2 15 822560 272680 141920 5448672   32    0  8192 20670 5358 14524  2  1 63 33  0
