procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1 17  76428 1942996 240968 2070236    0    0 81000    90 8360 47811  2  3 54 41  0
 0 19  76428 1947416 240968 2067680    0    0 11164     0 3750 19606  1  1 58 40  0
 1 20  76428 1950524 240968 2068584    0    0 17200     0 5619 29824  2  1 48 48  0
 4 18  76428 1951900 240968 2069520    0    0 15712     0 5247 27958  2  1 49 48  0
 0 18  76428 1951360 240968 2070248    0    0 14928     0 5288 28986  2  1 56 41  0
 3 16  76428 1943884 240972 2069780    0    0 85280   184 8675 48663  2  3 55 41  0
 1 18  76428 1949492 240972 2067176    0    0 10428     0 4182 19308  2  4 57 37  0
 0 20  76428 1951212 240972 2067928    0    0 15648     0 6121 28956  2  2 55 41  0
 1 20  76428 1953116 240972 2068688    0    0 14988     0 5425 28269  2  1 55 43  0
 2 16  76428 1955196 240972 2069444    0    0 14776     0 5135 26548  2  1 58 39  0
 0 17  76428 1949876 240972 2068960    0    0 70724    30 7890 46349  2  2 53 43  0
 3 18  76428 1956280 240972 2067532    0    0 10908     0 4084 22118  1  1 60 37  0
 1 19  76428 1956032 240972 2068260    0    0 12436     0 4189 22669  1  1 60 38  0
 0 21  76428 1957352 240972 2069088    0    0 16164     0 6028 30853  2  1 56 41  0
 0 19  76428 1956792 240972 2069692    0    0 16480     0 5676 30330  2  1 55 42  0
 0 18  76428 1969132 240972 2069848    0    0 68712    32 7766 45434  2  2 55 41  0
 0 18  76428 1975372 240972 2067792    0    0 10900     0 3810 20291  1  1 59 39  0
 1 20  76428 1974008 240972 2068332    0    0 11020     0 3904 19838  1  1 57 41  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0 20  76428 1973556 240972 2069008    0    0 14164     0 4786 26042  2  1 58 39  0
 1 18  76428 1970420 240972 2069724    0    0 15416     0 5319 27896  2  1 54 43  0
 1 17  76428 1964304 240972 2069152    0    0 65572    24 7316 43290  2  2 57 39  0
 1 17  76428 1968516 240972 2067584    0    0 11304     0 4011 21701  1  1 56 42  0
 0 20  76428 1969816 240972 2067820    0    0 14820     0 5655 27703  2  1 56 41  0
 0 19  76428 1969200 240972 2068240    0    0 14380     0 5431 27526  2  1 51 46  0
 1 18  76428 1970156 240972 2068808    0    0 14616     0 5181 28607  2  1 59 38  0
 1 18  76428 1980352 240972 2068600    0    0 60016    24 16641 40943  2  3 58 38  0
 2 18  76428 1985732 240972 2067172    0    0 11480     0 3900 22070  1  1 55 42  0
 0 17  76428 1986204 240972 2067668    0    0 11240     0 3501 21367  1  1 53 45  0
 0 21  76428 1982704 240972 2068308    0    0 14472     0 5288 27448  2  1 54 43  0
 1 18  76428 1981044 240972 2068928    0    0 16288     0 5697 29722  2  1 58 39  0
 0 19  76428 1968796 240980 2069316    0    0 62680   186 7413 43451  2  3 51 45  0
 0 18  76428 1972764 240980 2067676    0    0 10860     0 3799 19405  1  1 55 43  0
 0 21  76428 1975436 240980 2068140    0    0 15840     0 5593 30113  2  2 46 49  0
 1 19  76428 1974260 240980 2068728    0    0 15344     0 5605 27802  2  1 52 45  0
 0 18  76428 1974780 240980 2069460    0    0 15280     0 5724 28802  2  1 53 44  0
 0 18  76428 1986888 240980 2069680    0    0 61228   174 8887 42319  1  2 54 42  0
 2 18  76428 1991292 240980 2066984    0    0 11032     0 4290 21718  2  4 49 45  0
 0 21  76428 1989820 240980 2067572    0    0 14652     0 5165 27275  2  1 52 45  0
16 18  76428 1988808 240980 2068028    0    0 14500     0 5468 26594  2  1 51 46  0
