procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2 16 133748 1834492 227184 2040520    0    0 215524    44 12649 55013  1  8 56 34  0
 1 19 133748 1714356 227184 2062536    0    0 140640     0 9020 32146  1  3 56 40  0
 1 26 133748 1670420 227184 2060196    0    0 144228   124 10805 48547  0  2 43 55  0
 3  7 133748 1672516 227184 2054168    0    0 38788     0 3100 11881  0  1 54 45  0
 2 19 133748 1621228 227184 2044872    0    0 253536     0 13707 63677  2  7 49 43  0
 4 19 133748 1607632 227184 2031792    0    0 122416    48 7363 28410  0  2 62 36  0
 1 17 133748 1508700 227184 2056368    0    0 89204     0 7049 42290  1  5 40 53  0
 1 24 133504 1396816 227184 2087160  432    0 172244    44 10744 58559  0  3 53 43  0
 0 20 133504 1591168 227184 2124468    0    0 200688     0 12847 54233  0  7 50 42  0
 0 20 133504 1567444 227184 2110432    0    0 133484     0 9354 41089  0  2 53 45  0
 1 21 133504 1539204 227188 2101320    0    0 166460    28 7615 51211  1  3 61 35  0
 1 18 133504 1520960 227188 2084268    0    0 104268     0 7200 31843  1  5 43 51  0
 1 23 133484 1488840 227188 2065764   24    0 214460    10 11770 68553  1  5 52 42  0
 1 22 133484 1426724 227188 2052968    0    0 182552     0 11757 60532  1  7 56 36  0
11 21 133484 1411400 227188 2048888    0    0 71008     0 8452 45510  1  5 62 32  0
 0 15 133484 1529628 227192 2153932    0    0 202312    28 10911 51939  1  7 61 32  0
 1 20 133484 1473888 227192 2163468    0    0 134264     0 9899 38015  0  2 56 42  0
11 16 133484 1443140 227192 2151192    0    0 171764     0 11534 58524  0  3 55 42  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0 20 133484 1389028 227192 2135224    0    0 179132     0 11748 62093  1  3 46 51  0
 4 22 133484 1280996 227192 2156160    0    0 172204     0 11282 61498  0  4 40 56  0
 0 26 133484 1140828 227192 2168596    0    0 167724    20 11298 60876  0  3 47 50  0
 4 21 133460 809524 227192 2258080   16    0 126584     0 13794 94941  1  5 38 55  0
 0 14 133460 1194012 227192 2391112    0    0 161060     0 8300 31213  1  9 64 26  0
 1 12 133460 1069012 227192 2426296    0    0 141912     0 8398 31411  1  5 59 34  0
 1 19 133460 1022236 227192 2426340    0    0 162008     0 11177 54433  2  7 54 37  0
 1 17 133460 954440 227192 2438540    0    0 169204    20 9730 40348  2  5 61 32  0
18 13 133448 878476 227192 2442384    8    0 151576     0 10197 53328  1  6 57 35  0
 1 17 133448 830720 227192 2426104    0    0 222768   132 12961 77121  1  7 47 45  0
 0 25 133448 723740 227192 2420620    0    0 210896     0 12263 76542  1  5 45 49  0
 0 24 133448 595320 227192 2445828    0    0 190048     0 9060 66347  0  3 58 38  0
 1 16 133448 563468 227200 2416220    0    0 200428    32 12316 70006  1  4 56 40  0
 1 23 133448 316584 227200 2448484    0    0 195900     0 12954 77640  2  7 45 46  0
 1 20 134692 306436 224332 2388640    0 1244 172660  1268 12495 67606  2  7 35 57  0
65 21 135948 301808 221012 2344948    0 1256 89508  1262 9825 55579  1  6 55 37  0
 0  8 135948 791672 221012 2498908    0    0 270580     0 12107 44453  0 15 57 28  0
 0 19 135948 692100 221012 2523632    0    0 167404    36 11490 61337  0  3 55 41  0
 1 22 135948 676876 221012 2512768    0    0 172972     0 8924 46734  0  3 64 32  0
 1 26 135948 658292 221012 2482796    0    0 228268   124 13626 75782  1  8 44 47  0
 1 21 135928 628792 221012 2457424    0    0 194984     0 13170 72537  1  7 38 53  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0 24 135928 653632 221012 2409472    0    0 179516     0 11991 59346  1  4 42 53  0
 1 11 135928 618956 221012 2392452    0    0 77112    52 5808 30876  1  3 48 49  0
 0 22 135928 561420 221012 2371724    0    0 243360     0 13364 87138  1  6 48 44  0
 0 24 135928 404216 221012 2403448    0    0 135092    28 10488 58040  1  4 41 55  0
 1 20 138704 1083940 199640 2105236    0 2776 162444  2784 11967 65438  1  5 46 48  0
 9 18 138704 1084860 199648 2079212    0    0 166484     0 11327 53441  0  4 45 51  0
13 25 138704 1083544 199648 2050536    0    0 169688    28 11466 60086  0  4 46 50  0
 0 16 138704 1077524 199648 2035348    0    0 82824     0 5600 26203  1  3 58 38  0
 1 24 138704 1087992 199648 2000080    0    0 192224     0 10914 60844  0  3 45 52  0
 2 26 138704 1059324 199648 1996240    0    0 20768     0 8156 45418  1  3 54 41  0
 1 24 138704 1022376 199648 1996592    0    0 30152     0 11218 67157  2  5 61 32  0
 2 23 138704 1004076 199648 1997824    0    0 32428    20 15408 70030  2  4 59 35  0
 1 26 138704 948496 199648 2012744    0    0 32940     0 20820 69624  2  4 59 36  0
 1 25 138704 873184 199648 2043600    0    0 28888     0 11323 65580  2  4 63 32  0
 2 25 138704 832964 199648 2063012    0    0 20260     0 8305 45587  1  4 66 29  0
 3 22 138704 799424 199648 2077304    0    0 19968     0 8788 47602  1  4 67 27  0
 4 21 138704 742584 199648 2102968    0    0 17844    20 34228 43096  2  4 66 28  0
 2 22 138704 689884 199648 2128020    0    0 17820     0 36513 41782  1  4 62 33  0
 1 25 138704 604420 199648 2166252    0    0 22312   132 22616 50919  1  3 62 34  0
 1 24 138704 519004 199648 2205396    0    0 19276     0 7874 45956  2  4 57 37  0
 1 22 138704 452192 199648 2230816    0    0 18240     0 7297 42533  2  3 64 32  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1 24 138704 362616 199652 2265416    0    0 23044    32 10139 54813  2  5 61 33  0
 0 25 138704 333116 198176 2224288    0    0 25084     0 11299 60788  2  4 59 35  0
