procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1 15 142832 2523848 169228 1238356    0    0 146464    20 8334 59117  1  3 63 33  0
 0 16 142832 2531728 169228 1234504    0    0 142728     0 7758 54580  0  3 56 40  0
 1 15 142832 2516264 169228 1241988    0    0 24896   276 2450 14082  1  1 57 41  0
 1 16 142832 2528912 169228 1236916    0    0 142856     0 8175 61119  1  3 52 45  0
 0 16 142832 2512440 169228 1243880    0    0 24608     0 2515 14383  1  1 53 45  0
 0 16 142832 2522884 169232 1239556    0    0 144072    72 7855 56411  0  3 65 31  0
 0 16 142832 2529384 169232 1232720    0    0 146912     0 8225 60862  0  3 66 30  0
 2 15 142832 2515480 169232 1240408    0    0 23600     0 2198 11480  1  1 67 32  0
 0 16 142832 2522764 169232 1237656    0    0 149240     0 8503 60070  1  3 61 36  0
 1 15 142832 2508144 169232 1244576    0    0 24168     0 2252 13088  1  1 63 36  0
 1 15 142832 2519992 169236 1238116    0    0 149768    28 8183 61561  1  3 47 49  0
 0 16 142832 2533644 169236 1232516    0    0 158332     0 8451 61486  0  3 59 37  0
 1 15 142832 2516972 169236 1240604    0    0 25568    12 2809 16204  1  1 68 31  0
 1 16 142832 2521752 169236 1238180    0    0 144592     0 8199 57534  0  3 72 25  0
 2 15 142832 2506864 169236 1244728    0    0 25392     0 2660 15355  1  1 73 25  0
 0 16 142832 2523676 169244 1237360    0    0 144824    20 8243 59028  0  3 63 34  0
 0 16 142832 2505256 169244 1245964    0    0 24112     0 2441 13162  1  1 66 33  0
 0 16 142832 2518404 169244 1239624    0    0 143216     0 8379 55919  0  3 63 34  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1 15 142832 2528172 169244 1235808    0    0 141424     0 7757 51250  0  3 60 37  0
 0 16 142832 2512852 169244 1242240    0    0 24264     0 2321 12759  1  1 54 45  0
 0 16 142832 2515676 169248 1237936    0    0 146224    20 8944 58692  0  3 49 48  0
 1 15 142832 2498612 169248 1246056    0    0 24440     0 2355 13271  1  1 57 42  0
 0 16 142832 2511272 169248 1239820    0    0 147568     0 8808 61743  0  3 59 37  0
 0 16 142832 2522676 169248 1236092    0    0 143360     0 7440 53620  0  3 60 37  0
 0 16 142832 2505980 169248 1242820    0    0 23440     0 1819 10960  1  1 61 38  0
 0 16 142832 2516640 169252 1238740    0    0 145456    20 8360 59975  0  3 55 42  0
 0 16 142832 2499572 169252 1245972    0    0 24784     0 2644 14759  1  1 55 43  0
 0 16 142832 2513772 169252 1239692    0    0 158912     0 9344 60938  1  3 57 39  0
 1 15 142832 2517332 169252 1236652    0    0 146024     0 8576 59151  0  2 64 33  0
 1 15 142832 2502340 169252 1243496    0    0 23048     0 2283 10767  0  1 64 35  0
 0 16 142832 2509792 169256 1239216    0    0 145040    24 8444 59550  0  3 61 35  0
 0 16 142832 2519540 169256 1236380    0    0 143120     0 7989 55762  0  3 63 35  0
 2 15 142832 2504472 169256 1243828    0    0 23880    12 2062 12388  1  1 63 36  0
 0 16 142832 2516520 169256 1237516    0    0 145992     0 8828 61807  0  4 65 31  0
 0 16 142832 2525120 169256 1234508    0    0 144256     0 8028 54463  0  3 66 31  0
 0 16 142832 2510140 169256 1242284    0    0 24304    28 2260 12737  1  1 66 32  0
 0 16 142832 2516508 169256 1237668    0    0 143712     0 8251 57639  0  3 63 34  0
 1 15 142832 2501144 169256 1244872    0    0 26432   296 3038 18113  1  1 64 33  0
 0 18 142832 2514040 169256 1239104    0    0 141956     0 7477 56261  0  3 57 40  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0 16 142832 2522920 169256 1236244    0    0 165200     0 8484 60793  0  3 58 38  0
 2 14 142832 2510256 169256 1241464    0    0 24456    64 2459 14197  1  1 64 34  0
 0 16 142832 2515116 169256 1238556    0    0 148576     0 8905 61945  1  3 59 37  0
 2 14 142832 2499656 169256 1245084    0    0 26408     0 3180 17671  1  1 60 38  0
 0 16 142832 2512260 169256 1239116    0    0 144080     0 8181 56092  0  3 52 44  0
 0 16 142832 2517972 169256 1236300    0    0 143976     0 7616 54723  0  3 59 38  0
 1 16 142832 2502524 169260 1243092    0    0 25936    20 2829 16742  1  1 62 36  0
 0 16 142832 2509632 169260 1239872    0    0 142728     0 7613 54955  0  3 60 36  0
 0 16 142832 2517568 169260 1235084    0    0 143212     0 7655 54298  0  3 57 40  0
 2 14 142832 2501468 169260 1243540    0    0 25112     0 2834 15564  1  1 59 39  0
 1 15 142832 2507296 169260 1239900    0    0 144980     0 8327 59221  1  3 61 36  0
 0 16 142832 2519904 169268 1234420    0    0 144888    20 7811 56635  0  3 61 35  0
 0 16 142832 2503664 169268 1242312    0    0 23736     0 2109 12329  1  1 69 29  0
 1 15 142832 2506992 169268 1237848    0    0 163568     0 10164 64743  1  4 57 38  0
 2 15 142832 2490380 169268 1245684    0    0 24904     0 2547 14418  1  1 61 37  0
 0 16 142832 2501216 169268 1241056    0    0 146856     0 8660 60885  1  3 61 35  0
 0 16 142832 2517664 169272 1234056    0    0 141608    20 7635 57979  0  3 49 48  0
 0 16 142832 2502004 169272 1242160    0    0 24768     0 2561 14268  1  1 56 42  0
 0 16 142832 2513200 169272 1238584    0    0 145096     0 8357 58068  1  4 60 36  0
 2 14 142832 2495772 169272 1245820    0    0 26472     0 3029 17274  1  1 65 33  0
 0 16 142832 2509192 169272 1240388    0    0 144840     0 8493 60596  1  3 53 43  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1 15 142832 2519520 169272 1235272    0    0 142568    28 7736 55588  0  3 56 41  0
 0 16 142832 2504196 169272 1242696    0    0 24152     0 2190 12621  1  1 53 46  0
 1 15 142832 2504924 169272 1239440    0    0 144720     0 8967 58454  1  3 62 34  0
 1 15 142832 2489360 169272 1246588    0    0 25776     0 2793 17064  1  1 66 32  0
 0 16 142832 2501656 169272 1239904    0    0 147064     0 8938 61629  1  4 55 41  0
 1 15 142832 2513404 169272 1236748    0    0 141540    28 7425 53745  0  3 60 37  0
 2 14 142832 2498216 169272 1243472    0    0 26360     0 2910 17100  1  1 63 35  0
 0 17 142832 2508616 169272 1238760    0    0 144568    16 7775 56275  1  3 59 38  0
 0 16 142832 2513676 169272 1237864    0    0 146400     0 8379 58838  0  3 54 43  0
 2 15 142832 2498568 169272 1245072    0    0 26824     0 2946 17972  1  1 57 41  0
 0 16 142832 2506140 169272 1239332    0    0 145324    36 7802 56455  1  3 54 42  0
 0 16 142832 2516020 169272 1235832    0    0 147752     0 8249 60905  0  4 44 51  0
 0 16 142832 2501500 169272 1242752    0    0 25600   296 2693 15540  1  1 53 45  0
 0 16 142832 2505228 169272 1238036    0    0 144896     0 8196 58617  0  3 61 35  0
 1 15 142832 2512008 169272 1236924    0    0 144584     0 8099 56063  0  3 61 36  0
